-14, -32, -220
-13, -28, -224
-14, -28, -224
-14, -28, -224
-15, -30, -222
-12, -30, -225
-14, -30, -223
-14, -29, -223
-14, -30, -223
-14, -29, -222
-15, -30, -223
-14, -30, -222
-15, -29, -223
-14, -29, -224
-14, -30, -222
-14, -30, -222
-14, -27, -223
-14, -30, -221
-14, -29, -224
-16, -30, -223
-14, -29, -221
-14, -29, -223
-14, -31, -222
-13, -30, -225
-13, -29, -225
-13, -30, -222
-14, -30, -225
-14, -31, -222
-16, -29, -224
-14, -30, -223
-16, -31, -225
-14, -30, -221
-14, -30, -224
-14, -31, -224
-15, -30, -224
-14, -30, -224
-14, -30, -223
-13, -30, -223
-14, -30, -225
-16, -28, -224
-13, -29, -224
-14, -30, -225
-12, -28, -222
-15, -30, -223
-15, -30, -224
-14, -30, -224
-14, -29, -224
-13, -29, -223
-14, -29, -223
-13, -29, -223
-14, -30, -222
-53, -32, -233
-28,  31, -194
-250, -21, -246
-44,  67, -287
-66,  17, -205
 -8,  53, -119
-57,   2, -302
-87,  68, -341
-41,  19, -67
